"","polling_firm","pollster","firm","sample_size","fieldwork_date","end_date","e_day","days_left","turnout","lead","PSOE","PP","Cs","Más Madrid","Vox","Unidas Podemos","headline","source"
"12","NC Report/La Razón","NC Report","La Razón",1000,"5–10 Oct 2020",2020-10-10,"4 May 2021",206,"58.6",6.2,26.9,33.1,12.3,12.1,8.7,5.4,"La batalla con Sánchez dispara a Ayuso","https://www.larazon.es/espana/20201012/5wtg3ypde5a23g74xjjfsyjyjm.html"
"13","ElectoPanel/Electomanía","ElectoPanel","Electomanía",650,"1–9 Oct 2020",2020-10-09,"4 May 2021",207,"",5.2,28.5,33.7,9.2,12.7,9.1,5.1,"CAMPanel (9oct): la intervención de Madrid perjudica más a Aguado que a Ayuso, que sale reforzada políticamente","https://electomania.es/campanel9oct20/"
"14","DYM/20 minutos","DYM","20 minutos",NA,"5–7 Oct 2020",2020-10-07,"4 May 2021",209,"",4.2,28.5,24.3,13.9,14,12.7,5.1,"Ayuso sube y podría gobernar de nuevo con los apoyos de Vox y Ciudadanos","https://www.20minutos.es/noticia/4411115/0/pp-voto-ayuso-repetir-gobierno-encuesta-dym/"
"15","SyM Consulting","SyM Consulting",NA,1319,"2–4 Oct 2020",2020-10-04,"4 May 2021",212,"71.0",2.7,25,27.7,9.1,14.2,16.2,5.8,"Estimación Septiembre 2020. Comunidad de Madrid. Autonómicas 2023","https://twitter.com/Barometrocm/status/1313874459330252801"
"16","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2120,"2 Oct 2020",2020-10-02,"4 May 2021",214,"",5,28.4,33.4,10,10.8,9.8,6.5,"CAMPanel (2Oct): la polémica en torno a las restricciones por COVID impulsan a Ayuso, que sube 2,5p en un mes","https://electomania.es/campanel2oct20/"
"17","NC Report/La Razón","NC Report","La Razón",1000,"8–12 Sep 2020",2020-09-12,"4 May 2021",234,"59.2",1,27.4,28.4,14,13,9.4,5.9,"Díaz Ayuso ganaría hoy las elecciones en Madrid con dos diputados más que el PSOE","https://www.larazon.es/madrid/20200913/lbyfwp4ksrefphnloipnx7zyu4.html"
"18","ElectoPanel/Electomanía","ElectoPanel","Electomanía",NA,"31 Aug 2020",2020-08-31,"4 May 2021",246,"",2.3,28.6,30.9,11.3,9.5,10.9,7.2,"CAMPanel (2Oct): la polémica en torno a las restricciones por COVID impulsan a Ayuso, que sube 2,5p en un mes","https://electomania.es/campanel2oct20/"
"19","Sigma Dos/Telemadrid","Sigma Dos","Telemadrid",1600,"19–22 Jun 2020",2020-06-22,"4 May 2021",316,"",2.4,29.5,31.9,10.8,10.3,8.4,7.8,"Ayuso ganaría las elecciones en Madrid, pero sigue necesitando a Ciudadanos y Vox para gobernar","http://www.telemadrid.es/programas/120-minutos/Ayuso-Madrid-Ciudadanos-Vox-elecciones-0-2243775624--20200624105543.html"
"20","ElectoPanel/Electomanía","ElectoPanel","Electomanía",NA,"1 Apr–15 May 2020",2020-05-15,"4 May 2021",354,"",3.8,28.5,32.3,10.2,6.5,10.2,10.5,"EP (17My): Com. Madrid – Ayuso 'lo peta' y podría gobernar con Vox","https://electomania.es/ep-17my-madrid/"
"21","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"8–11 May 2020",2020-05-11,"4 May 2021",358,"",2.5,27.4,29.9,13.9,10.8,9.8,6.6,"La campaña antiAyuso gripa: ganaría hoy las elecciones con 10 escaños más y seguiría de presidenta","https://okdiario.com/espana/isabel-diaz-ayuso-dispara-hasta-40-escanos-gana-pulso-sanchez-crisis-del-coronavirus-5596420"
"22","GAD3/ABC","GAD3","ABC",1006,"24–29 Apr 2020",2020-04-29,"4 May 2021",370,"",13.2,27.9,41.1,7.6,6.6,7.7,6.4,"El PP se dispara en la Comunidad de Madrid y Ciudadanos se hunde","https://www.abc.es/espana/abci-pp-dispara-comunidad-madrid-y-ciudadanos-hunde-202005012034_noticia.html"
"23","SyM Consulting","SyM Consulting",NA,1236,"20–23 Apr 2020",2020-04-23,"4 May 2021",376,"74.4",2.6,24.7,27.3,12.3,8.9,14.9,10,"Estimación Abril 2020. Comunidad de Madrid. Autonómicas 2023","https://twitter.com/Barometrocm/status/1254808737656733702"
"24","ElectoPanel/Electomanía","ElectoPanel","Electomanía",800,"26–31 Mar 2020",2020-03-31,"4 May 2021",399,"",4.3,30.3,26,11.3,4.3,11.8,14.4,"CAMPanel (3A): desplome de Más Madrid, que se queda sin escaños. Ayuso seguiría al frente de la CAM, si Vox, que alcanza a Cs, lo permite","https://electomania.es/camp3a/"
"25","Celeste-Tel","Celeste-Tel",NA,1000,"22–26 Jul 2019",2019-07-26,"4 May 2021",648,"65.0",4.6,28.3,23.7,20.1,14.1,7.6,4.8,"Estudio Sociológico Autonómico. Comunidad de Madrid. Julio de 2019","https://www.celeste-tel.es/wp-content/uploads/2019/08/Encuesta-Auton%C3%B3mica.pdf"
"26","NC Report/La Razón","NC Report","La Razón",900,"9–13 Jul 2019",2019-07-13,"4 May 2021",661,"60.7",1.8,27.8,26,17.7,14.2,7.1,5.1,"La repetición electoral en Madrid sólo beneficia al PP","https://www.larazon.es/espana/la-repeticion-electoral-en-madrid-solo-beneficia-al-pp-BF24215602"
